crop,area,rainfall,temperature,fertilizer,yield_per_acre
Banana,2.01,40.6,25.9,172.6,25.539
Wheat,4.69,32.5,29.9,130.6,1.703
Tomato,8.39,154.5,39.9,190.6,10.556
Chickpea,14.75,58.6,26.6,196.8,1.118
Millets,23.84,221.7,39.4,168.6,0.527
Onion,7.9,258.7,19.7,187.9,5.957
Millets,4.81,180.1,17.5,100.7,0.734
Groundnut,15.12,396.5,17.2,84.6,0.678
Millets,17.45,46.6,38.5,41.5,0.926
Mustard,17.91,271.0,12.2,54.9,0.48
Onion,10.31,48.1,32.3,196.1,10.7
Potato,5.46,214.3,39.5,14.7,4.866
Mustard,6.99,251.6,40.5,106.2,0.332
Soybean,21.36,128.8,30.8,203.6,1.364
Potato,9.87,62.5,39.7,202.6,8.386
Cotton,5.04,265.8,21.1,52.8,0.455
Wheat,6.48,385.0,25.2,93.0,1.117
Rice,3.32,184.8,29.6,111.8,2.249
Wheat,24.83,35.5,17.0,121.8,1.845
Groundnut,9.49,107.8,41.0,33.8,1.078
Sugarcane,1.06,248.6,23.8,124.4,35.464
Chickpea,2.76,337.4,33.7,28.2,0.47
Wheat,11.19,57.5,37.2,79.8,1.585
Mustard,22.9,301.9,13.0,34.1,0.424
Potato,10.1,391.4,18.2,155.0,7.323
Banana,2.91,59.5,21.0,211.3,28.312
Rice,3.51,46.7,41.1,37.7,1.581
Sugarcane,14.09,106.1,31.9,81.7,27.087
Mustard,2.87,354.5,29.9,1.0,0.369
Wheat,22.69,72.6,22.0,168.2,2.142
Soybean,8.17,313.1,33.4,79.1,0.844
Millets,22.25,271.4,29.8,178.4,0.761
Chickpea,11.38,280.9,24.1,105.4,0.637
Wheat,16.19,345.4,14.6,197.9,1.129
Potato,18.76,243.8,24.2,203.2,9.202
Maize,13.25,222.3,34.3,78.8,1.729
Rice,9.06,249.0,28.3,186.3,2.484
Sugarcane,24.4,139.2,25.1,218.7,32.181
Chickpea,14.55,160.7,13.4,167.4,0.664
Onion,10.74,75.0,19.4,183.2,8.968
Banana,6.78,114.6,29.5,56.5,23.126
Wheat,4.32,183.0,18.2,171.3,1.578
Rice,15.2,344.5,36.0,34.9,1.755
Groundnut,24.57,336.1,30.5,24.4,0.663
Potato,17.23,374.9,33.3,22.8,3.795
Tomato,10.82,260.5,39.0,167.2,7.124
Soybean,4.1,158.0,32.5,139.5,1.308
Cotton,19.84,56.4,29.9,177.9,0.946
Groundnut,5.46,275.9,17.3,107.4,0.752
Wheat,22.77,92.3,26.5,29.1,1.61
Rice,24.95,134.8,39.7,160.6,1.662
Wheat,17.21,378.6,33.8,186.4,0.921
Tomato,4.64,263.2,19.6,94.6,8.925
Millets,23.62,154.8,20.4,47.0,0.706
Potato,11.03,369.6,22.3,63.3,6.362
Rice,13.35,187.3,26.0,183.6,2.383
Potato,1.75,22.3,26.9,180.0,10.622
Potato,15.44,213.5,29.4,194.1,8.283
Millets,11.93,176.2,40.6,41.2,0.616
Rice,15.81,141.3,28.2,131.3,1.995
Potato,10.8,73.9,35.1,85.6,8.789
Chickpea,4.48,286.2,24.5,40.8,0.556
Soybean,22.39,296.3,29.3,137.5,1.115
Wheat,15.01,301.2,26.9,197.0,1.148
Sugarcane,9.72,181.7,33.1,6.0,28.864
Maize,14.09,137.8,31.7,198.2,2.563
Onion,18.61,95.4,26.2,64.1,9.372
Wheat,23.71,175.3,27.0,115.3,1.527
Sugarcane,6.35,162.9,34.4,154.2,29.278
Groundnut,19.1,94.1,27.3,43.2,1.159
Wheat,12.93,198.4,21.2,98.8,1.214
Banana,14.48,57.8,15.1,64.5,16.8
Tomato,5.96,69.9,14.9,67.1,11.164
Maize,7.43,187.4,30.9,79.2,1.88
Tomato,17.47,239.8,26.9,108.2,9.629
Maize,21.03,364.1,41.2,88.9,1.145
Wheat,17.71,180.4,39.6,213.1,1.065
Sugarcane,19.53,251.4,24.7,29.6,21.441
Onion,2.26,71.2,23.2,87.7,10.565
Potato,22.54,215.0,41.1,193.2,5.624
Wheat,10.01,116.9,41.8,133.1,1.297
Banana,5.99,371.4,35.8,100.0,19.755
Millets,14.95,169.6,16.8,160.1,0.734
Tomato,9.61,40.9,28.7,132.0,11.849
Maize,1.14,65.5,12.9,207.8,2.33
Banana,0.97,56.7,33.6,105.7,24.658
Sugarcane,7.0,187.0,30.7,46.7,30.718
Maize,17.94,241.3,25.3,124.8,1.955
Wheat,20.42,307.1,17.5,194.9,1.268
Groundnut,13.52,321.3,16.9,58.3,0.664
Groundnut,23.48,327.4,17.1,130.9,0.689
Groundnut,2.35,345.6,14.7,59.7,0.621
Wheat,14.59,308.8,20.0,172.1,1.264
Groundnut,6.45,192.6,41.4,162.1,0.941
Cotton,24.18,278.9,25.6,201.6,0.546
Groundnut,5.42,68.6,38.0,149.6,1.501
Onion,19.26,363.2,23.3,77.0,6.049
Mustard,12.33,209.3,15.4,132.8,0.538
Wheat,11.68,213.8,21.3,150.7,1.362
Sugarcane,10.54,29.0,35.1,212.6,28.929
Groundnut,7.59,341.8,33.3,68.7,0.774
Wheat,5.88,278.3,36.4,21.0,0.771
Banana,24.0,298.6,27.5,132.9,23.498
Banana,7.72,58.3,23.1,163.9,23.656
Maize,9.6,254.1,29.8,104.0,1.809
Maize,2.33,152.3,41.1,209.7,2.344
Maize,14.68,260.6,24.9,63.4,1.831
Onion,24.32,302.9,32.7,185.8,5.523
Rice,16.86,320.2,15.8,41.3,1.459
Tomato,16.66,336.2,37.1,71.1,5.697
Wheat,23.99,366.7,21.4,196.7,1.224
Wheat,9.4,374.1,34.3,135.9,0.878
Cotton,21.69,48.4,27.0,197.1,0.814
Potato,21.55,315.4,17.0,39.8,5.474
Wheat,5.62,74.7,39.2,177.1,1.823
Millets,11.04,124.3,41.6,120.0,0.878
Potato,10.5,210.3,20.6,94.4,9.167
Maize,20.16,24.3,28.0,82.1,1.907
Mustard,22.1,314.5,21.9,162.6,0.527
Cotton,6.03,171.9,27.3,87.5,0.781
Wheat,3.54,218.2,20.2,80.2,1.322
Chickpea,10.01,309.1,20.3,168.2,0.787
Wheat,18.98,93.9,40.5,33.8,1.16
Groundnut,2.51,29.5,16.4,89.8,0.939
Cotton,12.22,259.6,14.9,148.8,0.464
Sugarcane,19.9,115.0,25.3,177.3,29.585
Sugarcane,12.84,160.5,28.9,114.3,34.139
Sugarcane,10.6,243.2,33.2,39.0,25.164
Wheat,15.93,45.6,13.8,151.0,1.854
Rice,4.47,103.5,23.8,139.0,2.059
Cotton,19.89,114.6,36.3,203.3,0.864
Onion,17.78,357.1,22.4,190.0,5.428
Banana,5.15,398.7,40.4,27.5,16.782
Onion,13.94,208.9,17.9,92.3,7.289
Millets,17.99,191.0,31.0,22.3,0.647
Soybean,16.23,334.0,35.0,32.4,0.785
Rice,2.44,45.2,36.7,40.2,1.571
Millets,5.62,316.6,29.5,89.3,0.87
Millets,10.55,334.4,36.4,82.2,0.696
Cotton,18.83,39.0,22.1,73.9,0.658
Chickpea,5.59,222.0,41.4,9.6,0.336
Soybean,14.77,111.5,39.1,70.0,0.947
Wheat,0.6,336.2,19.9,44.4,1.181
Mustard,14.81,300.0,24.6,22.3,0.456
Cotton,16.36,359.1,35.0,170.3,0.615
Rice,22.13,335.8,33.8,193.2,1.971
Rice,7.41,79.7,31.4,96.4,2.205
Sugarcane,8.81,206.4,19.8,35.5,29.125
Potato,6.04,173.9,23.5,206.9,10.228
Soybean,19.9,132.4,26.4,167.6,1.353
Cotton,23.94,195.9,34.8,202.6,0.722
Groundnut,14.1,176.0,28.0,171.5,1.366
Sugarcane,12.19,251.0,20.1,133.5,29.297
Onion,4.01,314.8,17.8,142.1,5.703
Potato,10.92,265.3,37.4,26.4,4.784
Groundnut,17.01,352.5,31.6,35.2,0.749
Soybean,13.96,68.2,31.3,156.9,1.224
Mustard,17.78,159.1,18.3,115.4,0.576
Wheat,11.69,339.5,16.7,89.6,1.182
Tomato,8.81,292.9,27.7,92.1,7.325
Rice,8.16,66.4,29.7,179.4,2.114
Onion,11.14,229.8,36.1,43.2,4.813
Sugarcane,23.32,75.4,41.7,131.8,28.044
Chickpea,21.58,85.4,24.0,10.6,0.753
Maize,18.37,98.9,30.0,159.1,2.798
Maize,6.41,330.8,18.2,129.9,1.42
Tomato,19.93,39.5,23.0,187.6,14.468
Soybean,3.16,173.6,40.8,23.4,0.908
Potato,10.74,303.0,13.6,2.3,4.732
Groundnut,17.16,252.5,41.9,76.4,0.726
Banana,3.19,84.9,26.3,211.1,25.839
Chickpea,23.9,311.0,34.1,121.3,0.474
Wheat,3.19,255.5,15.8,129.8,1.206
Soybean,20.76,176.2,25.1,13.2,0.924
Potato,2.49,73.9,24.8,89.6,11.31
Sugarcane,4.16,305.3,12.7,143.2,25.237
Wheat,15.91,129.4,15.1,218.7,1.961
Cotton,5.08,183.7,33.3,22.3,0.688
Onion,23.9,77.2,17.9,80.1,8.376
Mustard,17.36,198.7,17.5,57.4,0.504
Groundnut,13.22,370.7,14.9,177.0,0.713
Maize,6.83,166.4,25.3,165.2,2.571
Onion,8.99,220.8,31.7,16.7,4.968
Chickpea,4.56,120.0,29.9,209.7,0.804
Soybean,20.03,251.2,23.1,211.7,1.203
Banana,6.83,251.0,41.5,185.3,21.948
Mustard,20.67,192.4,23.8,114.1,0.553
Mustard,3.61,359.2,34.1,13.6,0.346
Groundnut,19.09,347.4,21.9,138.8,0.793
Wheat,21.94,49.1,20.6,22.6,1.599
Mustard,0.63,317.5,24.9,117.5,0.519
Soybean,8.21,317.5,31.2,48.0,0.884
Tomato,19.03,82.9,15.4,92.5,10.987
Banana,20.05,122.6,37.1,91.4,23.555
Onion,14.46,250.4,39.5,208.6,4.598
Soybean,15.55,21.4,21.5,43.2,0.968
Sugarcane,15.13,91.8,28.1,87.3,33.419
Wheat,21.1,399.8,28.2,149.7,1.044
Rice,9.1,89.0,29.5,207.3,2.354
Chickpea,18.23,183.6,28.2,99.7,0.559
Groundnut,2.18,227.8,27.4,40.0,0.925
Banana,15.03,234.3,24.1,171.8,23.93
Groundnut,12.13,182.0,26.6,176.0,1.121
Sugarcane,12.62,67.4,33.9,217.1,34.251
Rice,9.81,47.5,22.0,115.6,1.844
Maize,24.62,160.3,12.0,138.3,2.063
Chickpea,6.47,26.6,27.9,54.5,0.928
Chickpea,18.17,154.5,14.1,147.2,0.717
Mustard,11.32,40.1,28.8,123.1,0.873
Chickpea,6.09,112.0,24.5,154.6,1.039
Onion,22.2,115.8,15.8,131.8,8.133
Mustard,2.0,196.7,21.1,37.4,0.522
Soybean,19.37,310.2,22.8,214.3,0.984
Mustard,24.48,237.7,13.8,202.6,0.542
Mustard,4.71,358.7,24.8,109.9,0.539
Maize,12.84,357.5,17.1,135.7,1.404
Banana,8.46,100.8,14.1,57.6,20.45
Soybean,18.34,352.6,32.8,177.1,0.893
Sugarcane,23.69,309.9,21.7,159.1,26.487
Maize,8.32,213.6,38.4,214.7,2.308
Onion,12.42,145.7,33.5,8.5,5.689
Banana,7.14,34.2,28.8,129.0,23.123
Chickpea,13.37,216.0,21.1,42.7,0.59
Wheat,19.45,64.9,31.3,8.4,1.396
Soybean,7.2,155.7,17.7,195.0,1.336
Soybean,24.86,116.5,30.6,164.2,1.245
Groundnut,1.91,320.7,20.7,70.7,0.724
Wheat,21.36,348.1,38.1,40.2,0.663
Rice,16.71,245.3,33.7,166.3,2.169
Maize,14.84,23.0,12.3,103.6,1.747
Potato,17.83,306.0,29.6,62.6,5.02
Chickpea,20.53,180.9,38.8,28.1,0.447
Sugarcane,11.02,68.4,28.8,46.6,28.914
Maize,9.43,167.7,23.9,3.7,2.059
Groundnut,10.14,245.2,26.4,38.0,0.891
Cotton,8.67,255.6,30.7,39.7,0.623
Rice,11.71,176.3,32.6,162.8,2.401
Cotton,22.02,367.3,13.7,194.4,0.399
Onion,8.79,165.0,21.0,64.8,7.775
Groundnut,14.72,253.1,27.6,48.6,0.77
Tomato,16.52,39.7,41.6,127.6,9.742
Potato,17.42,269.6,36.0,35.5,5.069
Chickpea,5.88,386.1,22.7,69.6,0.604
Wheat,22.68,276.2,17.6,184.2,1.245
Groundnut,17.97,245.6,32.2,161.9,0.779
Soybean,13.52,89.3,23.2,18.6,0.857
Tomato,24.81,56.5,25.2,154.0,12.549
Cotton,19.97,131.4,31.8,133.6,0.778
Groundnut,6.38,84.0,12.5,105.7,1.296
Soybean,13.95,336.8,36.1,79.5,0.813
Tomato,2.51,307.4,26.9,74.0,8.461
Maize,12.21,185.7,20.1,173.9,2.154
Sugarcane,13.23,282.7,14.7,94.6,27.337
Banana,18.0,218.4,23.5,91.4,24.391
Soybean,2.11,338.5,13.7,29.2,0.705
Sugarcane,11.76,161.6,14.8,133.9,27.264
Soybean,5.15,305.8,15.0,170.5,0.861
Chickpea,20.43,340.9,40.7,185.8,0.432
Banana,5.31,306.9,31.0,211.5,28.316
Millets,4.52,126.9,26.4,143.6,0.91
Sugarcane,6.2,134.7,36.2,80.4,28.609
Onion,0.65,276.0,37.3,36.6,4.074
Chickpea,17.14,57.5,18.8,50.0,0.851
Chickpea,22.74,105.2,39.8,120.9,0.71
Cotton,17.01,326.2,40.7,0.6,0.363
Potato,4.22,75.9,33.3,11.3,8.651
Maize,18.94,175.5,24.8,149.2,2.412
Banana,4.91,88.7,28.5,54.1,23.191
Soybean,18.07,255.9,21.9,10.9,0.779
Wheat,10.83,322.6,14.5,187.0,1.329
Groundnut,9.09,346.8,37.1,113.3,0.861
Wheat,19.16,119.7,17.5,109.3,1.452
Potato,6.37,350.2,38.2,144.8,4.37
Chickpea,15.66,316.9,26.2,66.9,0.554
Sugarcane,9.84,368.2,28.0,135.1,28.115
Cotton,12.19,218.1,14.6,172.3,0.539
Onion,9.98,176.0,30.1,91.4,7.703
Chickpea,24.0,217.1,21.1,215.9,0.615
Mustard,23.21,56.4,36.2,171.6,0.809
Wheat,2.66,161.9,22.1,215.9,1.697
Onion,1.72,118.5,37.3,196.2,9.336
Soybean,17.36,172.9,34.1,181.4,1.187
Maize,12.76,144.4,25.7,63.9,2.481
Maize,7.81,239.6,30.0,202.6,2.237
Sugarcane,16.61,386.9,26.0,171.4,30.865
Chickpea,2.47,93.4,20.8,151.0,1.14
Mustard,3.86,190.8,24.7,151.8,0.568
Sugarcane,15.12,51.5,32.1,96.7,27.589
Sugarcane,20.15,88.8,18.3,198.2,33.554
Cotton,18.16,193.7,30.5,173.1,0.833
Sugarcane,15.47,148.6,27.5,80.0,32.547
Mustard,21.24,117.6,22.9,173.2,0.813
Potato,25.0,270.8,38.9,23.0,4.489
Rice,24.29,75.0,34.4,138.8,1.707
Cotton,24.44,326.2,19.6,183.5,0.476
Mustard,7.37,330.1,25.3,177.8,0.589
Tomato,15.61,59.1,14.8,209.7,13.201
Chickpea,15.14,316.9,30.0,98.7,0.593
Maize,1.74,260.7,26.2,142.6,2.132
Soybean,24.37,348.4,39.3,169.1,0.781
Maize,15.88,164.9,22.0,54.8,2.18
Wheat,3.47,290.4,39.9,83.7,0.912
Wheat,5.92,303.9,22.5,145.8,1.197
Banana,16.55,104.4,40.0,115.0,23.934
Onion,14.38,177.8,39.5,68.2,5.728
Potato,17.16,89.9,14.6,190.2,12.091
Onion,24.15,216.2,29.7,219.4,6.559
Rice,20.78,132.3,27.8,52.3,2.058
Soybean,23.4,352.1,24.0,160.3,0.886
Millets,20.21,41.4,13.5,145.4,0.945
Soybean,9.9,276.4,39.1,22.0,0.792
Mustard,10.85,39.7,23.5,174.7,0.985
Potato,4.82,108.2,37.4,95.2,9.573
Tomato,6.71,322.7,12.4,56.4,5.451
Millets,21.56,304.2,21.2,173.2,0.601
Tomato,12.94,213.6,17.0,178.8,10.566
Chickpea,21.31,330.0,35.6,171.7,0.445
Banana,20.78,324.5,20.1,124.5,23.468
Potato,3.03,221.6,12.1,52.9,8.693
Maize,19.39,262.2,20.0,3.8,1.363
Cotton,13.22,309.6,30.1,12.3,0.504
Banana,22.65,302.1,20.5,4.9,16.302
Millets,9.67,276.8,14.1,203.1,0.546
Tomato,21.7,183.5,31.9,186.0,9.253
Millets,0.74,136.9,25.1,137.4,0.987
Groundnut,16.39,333.3,18.8,176.0,0.658
Groundnut,10.53,229.8,12.3,156.2,0.793
Soybean,4.15,340.0,28.3,81.4,0.9
Mustard,15.5,34.7,35.0,40.1,0.623
Banana,12.45,218.6,28.9,117.3,25.778
Maize,17.96,79.1,35.6,8.2,1.674
Tomato,19.99,132.8,37.5,152.1,8.876
Onion,0.99,320.4,30.7,217.6,6.598
Rice,22.05,143.8,33.1,73.0,1.78
Sugarcane,13.39,141.5,36.7,13.7,22.616
Banana,8.42,87.1,29.6,56.0,19.453
Mustard,20.6,357.9,37.0,194.9,0.387
Mustard,22.72,280.7,41.9,190.4,0.357
Tomato,12.79,124.7,38.3,206.2,10.506
Soybean,8.99,91.7,27.9,216.7,1.227
Rice,18.48,335.8,36.9,32.9,1.541
Cotton,7.78,37.8,28.2,163.0,0.932
Sugarcane,16.18,227.3,15.0,52.8,28.784
Potato,15.88,134.5,15.8,59.2,9.442
Groundnut,18.84,285.7,32.1,135.9,0.807
Wheat,15.18,298.4,36.3,159.8,0.929
Wheat,20.7,309.5,40.3,1.3,0.57
Rice,10.33,149.4,34.4,117.8,2.1
Potato,1.72,195.3,30.2,61.6,7.737
Mustard,22.84,64.2,21.3,12.8,0.78
Chickpea,17.52,141.1,24.0,205.8,0.88
Rice,23.37,213.2,17.1,31.5,1.588
Chickpea,22.2,115.4,30.7,36.6,0.697
Soybean,10.34,99.2,27.7,187.2,1.521
Banana,16.72,329.1,35.4,212.0,23.255
Chickpea,22.69,157.4,26.8,189.0,0.86
Potato,10.82,244.1,37.1,114.1,6.484
Rice,5.7,145.9,24.0,170.8,2.151
Rice,2.27,243.4,12.2,204.8,2.088
Mustard,9.8,399.6,27.0,211.8,0.529
Mustard,18.0,44.2,25.3,59.6,0.774
Chickpea,16.18,116.5,15.5,149.7,0.962
Chickpea,10.72,386.3,15.5,141.6,0.61
Soybean,14.21,296.2,34.5,29.0,0.772
Tomato,6.68,251.1,19.8,113.5,8.575
Onion,9.11,371.5,41.0,77.2,3.942
Potato,19.93,105.9,28.9,83.1,8.983
Millets,15.75,259.5,33.6,108.9,0.721
Banana,14.3,331.0,31.4,31.7,19.789
Soybean,16.65,168.6,23.5,197.0,1.226
Soybean,12.15,292.9,25.6,132.7,1.035
Tomato,16.24,187.9,34.8,58.8,8.576
Groundnut,22.9,157.2,19.6,104.7,1.099
Mustard,7.27,157.5,28.2,0.7,0.436
Millets,6.23,51.0,34.8,191.8,1.198
Millets,15.51,56.1,26.1,211.1,1.275
Chickpea,2.56,126.6,28.4,191.1,1.018
Sugarcane,8.91,339.5,26.1,72.9,30.337
Cotton,3.58,390.2,26.6,15.9,0.46
Wheat,6.31,140.1,40.8,3.5,1.067
Millets,11.04,312.7,23.0,74.5,0.678
Tomato,2.79,74.1,31.8,69.2,11.474
Mustard,4.76,325.5,21.6,73.7,0.589
Millets,15.16,241.0,36.7,138.7,0.695
Maize,20.18,26.3,33.1,119.5,1.839
Sugarcane,24.67,151.7,31.2,96.7,30.083
Potato,8.03,107.0,19.1,170.3,13.083
Millets,5.73,100.7,29.6,128.2,1.173
Chickpea,17.48,262.1,18.0,12.2,0.486
Cotton,5.6,203.3,13.1,105.0,0.518
Groundnut,24.0,353.1,40.5,144.9,0.734
Potato,13.54,302.4,26.5,47.0,5.717
Maize,24.29,218.8,19.4,8.9,1.704
Millets,12.39,99.3,37.8,95.9,1.052
Onion,20.38,292.8,41.2,197.3,4.341
Onion,23.88,269.1,25.3,189.7,6.056
Cotton,9.58,123.1,37.5,186.3,0.863
Banana,5.03,167.6,21.8,56.7,22.885
Onion,3.55,202.1,38.0,173.6,6.267
Chickpea,10.64,245.5,37.6,116.2,0.47
Rice,17.42,172.6,36.8,5.2,1.578
Maize,14.89,156.3,24.1,161.7,2.573
Soybean,6.34,58.9,19.7,111.2,1.187
Rice,24.91,193.0,36.9,162.5,1.995
Wheat,13.05,235.8,16.7,24.6,0.989
Tomato,7.3,115.9,28.4,64.8,11.797
Sugarcane,1.78,256.2,35.2,96.2,31.64
Sugarcane,3.38,240.8,30.7,85.7,30.021
Cotton,22.83,133.2,34.0,25.6,0.681
Groundnut,9.24,167.0,29.6,61.6,1.032
Onion,22.25,189.0,18.1,122.8,6.96
Maize,1.08,274.3,13.1,91.8,1.561
Chickpea,21.24,347.8,35.3,180.3,0.452
Potato,18.86,315.7,35.8,35.9,4.169
Onion,19.7,76.0,15.7,214.9,8.242
Potato,0.71,171.3,12.8,31.6,9.391
Cotton,21.06,162.6,12.2,140.1,0.593
Millets,6.51,110.3,23.9,23.6,0.883
Banana,22.9,348.2,39.5,148.9,19.751
Sugarcane,17.86,177.8,34.0,124.8,34.181
Millets,20.69,375.7,35.9,197.1,0.617
Onion,16.91,231.4,13.7,126.7,5.716
Cotton,9.55,295.3,38.6,43.4,0.482
Potato,14.62,342.3,39.2,67.9,3.672
Maize,22.03,85.7,23.5,170.8,2.529
Chickpea,10.66,216.7,24.6,43.0,0.579
Potato,21.6,252.2,26.3,155.3,7.299
Sugarcane,13.94,24.4,16.4,157.8,24.236
Wheat,7.49,165.4,32.4,177.1,1.4
Soybean,24.33,53.4,18.7,159.8,1.099
Mustard,7.46,340.9,32.4,141.0,0.422
Soybean,19.29,348.8,35.9,106.2,0.797
Chickpea,19.01,193.2,22.0,90.2,0.606
Cotton,5.85,58.7,14.2,124.5,0.738
Maize,15.53,296.2,24.2,175.8,2.114
Banana,19.27,107.9,29.1,170.5,29.101
Tomato,6.55,206.5,24.4,201.1,11.491
Onion,11.9,309.8,32.1,118.3,6.223
Rice,22.92,177.7,16.4,18.6,1.461
Potato,6.67,222.6,40.4,108.5,6.462
Potato,8.04,89.3,39.3,37.8,7.3
Soybean,4.97,181.4,39.3,29.7,0.959
Wheat,11.21,363.4,39.8,209.2,0.838
Millets,16.36,31.6,32.2,153.3,1.088
Tomato,5.78,146.3,28.6,30.5,10.92
Onion,4.56,26.3,17.6,16.6,7.025
Tomato,19.13,318.7,14.1,125.5,5.416
Groundnut,19.71,389.4,20.1,170.9,0.813
Maize,19.72,236.7,28.4,177.9,2.24
Soybean,9.39,382.9,36.8,108.6,0.74
Millets,22.6,243.2,22.1,9.1,0.454
Wheat,3.66,275.6,23.9,20.8,0.941
Sugarcane,3.94,247.5,24.8,205.5,36.972
Onion,8.71,306.7,34.0,218.0,5.419
Onion,22.95,349.4,39.6,126.1,4.128
Millets,23.08,389.7,40.4,97.0,0.52
Potato,12.47,282.9,24.9,66.6,5.771
Wheat,10.87,277.5,18.0,148.9,1.257
Cotton,0.54,108.6,18.1,183.3,0.896
Wheat,17.8,271.9,36.8,117.5,0.846
Tomato,21.65,198.8,39.9,196.5,8.752
Tomato,1.94,271.7,32.4,184.8,8.857
Millets,6.39,36.8,26.0,99.7,0.925
Sugarcane,13.52,63.9,13.4,195.9,23.446
Potato,11.85,208.5,15.4,58.0,8.893
Sugarcane,3.06,232.1,37.2,83.4,29.788
Wheat,22.6,358.7,26.0,65.0,0.905
Soybean,17.18,383.0,29.4,4.7,0.669
Banana,22.63,32.8,30.5,83.1,21.417
Rice,10.58,369.7,21.1,167.0,2.104
Chickpea,8.65,80.0,18.6,124.2,1.017
Rice,21.65,276.6,40.7,176.1,1.707
Rice,11.78,379.7,24.7,119.9,1.831
Soybean,21.22,113.9,16.3,160.2,1.021
Sugarcane,23.23,273.5,22.5,112.3,26.855
Maize,22.46,342.6,20.4,83.7,1.26
Maize,10.1,144.4,18.0,89.7,2.118
Tomato,9.0,194.2,21.6,70.3,9.96
Onion,12.7,183.0,13.7,204.7,6.811
Tomato,22.72,24.3,15.7,41.9,8.759
Onion,13.87,138.2,13.3,7.8,6.334
Banana,9.95,129.3,36.2,190.4,25.308
Tomato,18.83,350.4,23.4,35.4,7.696
Rice,1.37,333.5,37.6,142.4,2.236
Rice,23.42,280.8,39.3,202.3,1.965
Soybean,24.6,126.3,30.8,48.4,1.113
Millets,15.79,34.2,31.4,106.9,0.892
Groundnut,23.59,20.9,25.1,27.8,1.042
Tomato,12.54,130.7,31.5,58.1,10.513
Tomato,22.73,172.1,13.7,21.9,7.916
Maize,22.82,215.8,25.5,170.0,2.309
Mustard,5.85,341.2,38.4,42.8,0.346
Tomato,18.22,268.1,30.6,112.1,7.85
Groundnut,4.48,226.3,22.4,73.0,0.977
Onion,11.68,207.5,38.9,122.9,5.771
Wheat,17.53,74.7,15.6,95.5,1.793
Banana,7.87,99.2,13.2,87.8,21.344
Wheat,18.39,366.8,30.6,204.5,1.055
Wheat,19.32,175.3,26.7,146.1,1.416
Wheat,10.01,310.7,28.0,75.2,1.066
Rice,0.68,181.5,26.5,50.4,2.049
Rice,5.11,91.4,37.9,202.2,1.938
Onion,17.32,373.0,16.5,34.3,4.66
Groundnut,5.92,236.1,12.2,116.4,0.758
Chickpea,18.28,159.5,14.0,53.9,0.632
Banana,19.52,375.4,17.3,1.2,12.231
Sugarcane,20.17,40.4,34.4,89.1,25.383
Tomato,8.34,328.0,14.8,158.1,7.143
Onion,4.52,230.8,31.2,29.2,5.15
Banana,18.96,235.8,24.3,163.4,26.035
Sugarcane,5.66,29.7,19.4,194.2,28.617
Potato,9.54,165.6,25.6,99.0,9.18
Maize,7.84,323.9,31.9,149.5,1.463
Groundnut,18.71,121.5,14.3,162.2,1.156
Tomato,24.16,296.5,39.9,139.5,6.028
Sugarcane,20.56,33.3,29.5,32.9,27.338
Millets,17.06,191.5,40.8,74.0,0.633
Millets,3.73,77.0,29.7,15.3,1.058
Soybean,8.53,142.0,16.2,77.2,1.256
Banana,5.22,87.5,16.2,126.3,23.956
Millets,2.66,302.7,35.8,69.2,0.606
Chickpea,1.7,261.2,20.6,90.0,0.699
Onion,18.1,198.1,34.8,69.3,5.899
Rice,11.23,239.0,32.1,200.7,2.393
Banana,15.5,336.7,41.8,197.8,19.075
Potato,16.31,75.1,32.8,64.6,8.233
Soybean,9.61,39.0,30.0,165.0,1.143
Sugarcane,20.2,36.1,12.1,49.3,22.368
Onion,14.29,107.1,22.9,99.8,9.025
Wheat,17.37,121.0,22.5,9.6,1.336
Millets,14.93,380.8,20.0,53.6,0.559
Cotton,24.9,161.0,26.9,12.8,0.537
Potato,5.65,25.9,32.5,32.5,7.971
Onion,3.87,256.7,20.0,147.6,6.164
Sugarcane,9.16,93.5,32.2,115.4,35.615
Banana,20.15,228.9,36.4,120.9,24.102
Chickpea,21.4,116.6,33.8,29.0,0.602
Banana,12.2,27.8,38.0,208.6,24.746
Cotton,5.1,283.6,20.9,211.2,0.504
Millets,1.71,396.1,29.3,214.6,0.749
Potato,13.42,27.0,35.1,36.6,6.633
Tomato,2.51,317.8,36.2,116.9,7.399
Tomato,2.81,190.5,37.2,19.6,7.103
Maize,0.81,149.2,27.0,211.0,2.438
Groundnut,14.74,387.3,20.8,83.5,0.726
Onion,5.87,305.4,20.0,123.0,7.262
Potato,7.24,309.2,37.8,69.8,4.338
Mustard,11.93,138.3,12.3,42.7,0.564
Banana,20.81,210.9,20.3,204.4,23.193
Maize,23.66,170.6,26.5,182.6,2.533
Maize,13.45,349.2,19.7,196.7,1.569
Rice,10.14,228.3,28.5,45.1,2.286
Mustard,17.93,333.7,16.1,165.3,0.614
Potato,13.6,302.5,28.3,20.6,5.034
Potato,10.25,237.4,17.1,74.2,7.705
Sugarcane,13.05,375.9,17.3,6.1,18.83
Cotton,15.39,250.9,22.4,8.3,0.429
Maize,19.52,170.8,36.9,172.6,2.437
Chickpea,1.76,76.8,36.7,59.3,0.849
Groundnut,10.95,190.7,21.8,20.7,0.825
Tomato,22.3,390.4,36.8,67.3,5.481
