soil_type,temperature,humidity,rainfall,ph,crop
Laterite,32.1,66.4,57.6,6.22,Groundnut
Alluvial,29.7,53.2,97.0,6.6,Onion
Red,33.0,64.7,59.1,7.75,Cotton
Desert,24.8,56.6,78.2,6.02,Millets
Alluvial,19.5,59.4,87.6,7.8,Chickpea
Red,32.0,83.4,124.0,6.59,Soybean
Alluvial,24.3,81.8,113.8,6.16,Potato
Loamy,34.3,49.3,107.6,7.43,Cotton
Black,28.5,73.6,52.7,6.24,Onion
Black,31.3,73.8,106.8,7.35,Soybean
Alluvial,17.2,52.0,39.8,6.72,Mustard
Loamy,24.0,62.0,128.8,6.1,Tomato
Black,31.8,48.8,102.4,6.54,Cotton
Black,23.6,69.5,304.9,6.27,Rice
Loamy,32.3,79.6,187.9,6.31,Banana
Alluvial,24.2,45.5,77.2,6.17,Mustard
Sandy,30.7,64.4,75.7,6.17,Millets
Alluvial,27.5,69.8,68.3,6.03,Tomato
Red,23.4,75.8,109.0,6.3,Soybean
Black,15.7,62.3,99.8,6.59,Wheat
Alluvial,28.8,63.2,60.3,6.41,Tomato
Alluvial,26.1,43.0,66.0,6.3,Chickpea
Red,34.1,34.2,87.1,6.95,Millets
Laterite,30.0,85.8,298.4,6.3,Rice
Black,29.5,90.4,217.1,6.12,Sugarcane
Loamy,26.7,64.2,145.1,6.08,Soybean
Sandy,26.2,59.4,48.2,6.46,Groundnut
Loamy,27.4,78.9,180.2,7.3,Soybean
Alluvial,23.2,74.5,55.3,6.18,Tomato
Loamy,24.4,65.9,64.7,6.1,Tomato
Loamy,24.6,72.3,137.7,6.24,Maize
Red,29.2,65.8,135.8,6.46,Soybean
Black,15.3,64.3,64.9,6.04,Mustard
Alluvial,21.9,76.0,135.2,5.78,Potato
Black,32.4,83.1,144.8,6.18,Sugarcane
Black,13.6,50.8,59.5,6.79,Mustard
Alluvial,26.1,71.0,109.8,6.56,Tomato
Alluvial,26.3,89.9,185.1,6.3,Rice
Loamy,30.1,64.8,105.9,6.98,Onion
Red,25.7,76.7,139.1,6.07,Soybean
Alluvial,24.0,55.8,48.0,6.51,Millets
Laterite,33.7,47.7,56.1,6.04,Groundnut
Sandy,31.3,49.5,50.0,6.29,Groundnut
Alluvial,19.9,60.3,78.0,5.99,Mustard
Loamy,19.4,66.6,96.0,6.07,Wheat
Black,27.3,60.1,99.1,7.17,Soybean
Loamy,31.9,77.5,122.2,6.27,Soybean
Black,29.3,65.6,118.2,7.97,Cotton
Red,22.2,62.3,104.1,6.24,Maize
Alluvial,20.9,84.2,65.4,5.34,Potato
Laterite,25.3,46.1,55.4,7.01,Groundnut
Red,23.1,70.1,170.3,7.39,Soybean
Laterite,31.8,90.9,197.7,6.45,Banana
Sandy,21.8,64.8,75.5,5.01,Potato
Sandy,16.8,49.2,70.2,6.3,Mustard
Black,23.6,74.9,151.0,6.01,Soybean
Loamy,23.4,58.3,63.4,6.38,Chickpea
Loamy,17.2,49.6,32.4,6.6,Mustard
Loamy,29.5,74.8,156.1,6.23,Sugarcane
Alluvial,24.9,87.3,244.9,6.68,Banana
Clay,29.0,79.6,192.9,6.73,Rice
Red,26.3,57.5,47.5,7.65,Millets
Black,15.1,58.7,52.1,7.22,Mustard
Laterite,28.7,58.3,86.6,6.03,Groundnut
Alluvial,24.3,70.1,128.8,5.96,Banana
Red,30.5,61.6,112.1,5.93,Maize
Clay,31.3,84.6,195.2,6.55,Rice
Loamy,27.1,78.0,171.8,6.87,Soybean
Loamy,32.3,54.8,52.9,7.97,Cotton
Clay,31.0,77.7,158.2,5.62,Rice
Sandy,34.3,41.3,89.8,7.04,Millets
Alluvial,30.0,77.4,157.8,6.17,Sugarcane
Alluvial,29.4,69.2,171.9,6.72,Banana
Red,32.4,62.0,63.4,6.57,Millets
Laterite,19.6,68.8,91.7,5.67,Potato
Alluvial,30.6,57.5,91.6,6.33,Cotton
Alluvial,17.9,56.3,76.1,6.99,Mustard
Black,26.9,83.8,191.1,6.47,Sugarcane
Loamy,34.0,52.1,66.6,6.68,Cotton
Alluvial,33.6,81.0,184.9,7.53,Sugarcane
Alluvial,22.5,56.2,37.1,7.79,Chickpea
Alluvial,17.0,50.0,51.0,6.12,Chickpea
Alluvial,15.6,59.3,54.7,6.25,Wheat
Alluvial,24.6,64.3,73.7,6.86,Mustard
Black,25.8,63.9,114.7,7.9,Cotton
Alluvial,24.0,54.6,48.2,7.62,Chickpea
Black,30.6,56.8,66.3,6.74,Cotton
Alluvial,23.8,80.6,151.0,6.29,Sugarcane
Alluvial,28.9,55.1,93.1,6.93,Onion
Alluvial,21.4,39.2,65.7,6.37,Mustard
Black,20.1,64.8,46.3,6.91,Wheat
Red,23.9,55.5,93.9,6.37,Tomato
Laterite,29.8,48.6,118.4,6.91,Groundnut
Black,29.1,79.2,104.6,6.98,Soybean
Black,25.6,68.7,65.2,6.97,Onion
Sandy,32.4,51.1,88.1,6.65,Groundnut
Alluvial,18.1,61.4,67.4,7.27,Wheat
Laterite,33.4,89.5,204.3,5.67,Rice
Alluvial,27.2,69.3,59.2,6.94,Onion
Loamy,27.5,66.3,96.7,6.68,Tomato
Red,21.9,67.3,98.1,6.83,Soybean
Sandy,29.2,57.6,37.3,6.42,Millets
Loamy,26.0,80.8,107.7,7.04,Soybean
Laterite,26.2,67.8,50.0,6.75,Groundnut
Desert,33.4,61.6,71.1,7.72,Millets
Black,22.8,62.8,44.6,6.93,Onion
Laterite,23.9,57.8,53.7,6.58,Groundnut
Loamy,29.2,79.6,107.8,6.76,Soybean
Black,16.1,43.4,88.4,6.14,Chickpea
Loamy,22.1,80.8,65.2,6.87,Tomato
Red,23.1,75.7,113.7,6.17,Maize
Sandy,23.6,44.7,61.9,6.03,Groundnut
Red,26.5,66.6,163.6,5.99,Soybean
Alluvial,25.1,52.2,95.3,6.2,Onion
Black,20.8,65.3,74.4,6.71,Wheat
Black,23.6,51.7,73.2,6.87,Chickpea
Loamy,22.3,60.1,61.0,5.94,Potato
Alluvial,28.5,74.5,250.0,7.4,Sugarcane
Loamy,23.5,54.3,80.3,6.69,Onion
Alluvial,30.9,68.5,126.8,6.92,Maize
Loamy,28.2,61.1,138.4,6.16,Soybean
Loamy,18.0,85.6,116.5,6.1,Potato
Loamy,28.2,65.4,82.8,7.31,Soybean
Red,27.2,66.8,126.8,6.07,Maize
Sandy,17.5,72.0,57.7,5.33,Potato
Black,13.9,50.5,43.6,7.27,Mustard
Alluvial,17.7,57.8,66.4,6.41,Onion
Alluvial,27.5,77.8,61.2,6.77,Tomato
Loamy,22.1,76.0,133.4,6.88,Maize
Red,30.2,54.1,93.6,7.88,Cotton
Black,17.3,48.4,73.8,7.43,Chickpea
Alluvial,24.5,58.9,112.3,6.71,Tomato
Clay,31.9,84.2,303.1,6.32,Rice
Loamy,26.8,67.5,64.1,6.82,Tomato
Black,20.3,71.8,43.0,7.34,Onion
Sandy,20.8,59.4,135.7,6.32,Potato
Loamy,24.9,58.7,101.1,6.09,Tomato
Laterite,26.4,60.1,83.6,6.77,Tomato
Loamy,21.0,48.2,64.9,7.19,Mustard
Laterite,27.5,81.7,209.3,6.26,Banana
Laterite,25.8,69.9,161.9,6.32,Rice
Red,28.4,65.6,79.5,7.04,Maize
Black,17.2,65.4,79.5,7.04,Chickpea
Alluvial,23.3,56.0,66.7,6.38,Wheat
Black,24.3,58.8,42.6,6.35,Onion
Loamy,26.1,81.1,227.1,6.46,Sugarcane
Sandy,20.6,77.6,57.1,5.77,Potato
Loamy,26.4,59.1,150.8,6.43,Soybean
Clay,15.7,80.5,57.8,5.73,Potato
Laterite,24.7,67.3,84.8,6.42,Groundnut
Red,25.1,82.7,105.0,6.07,Soybean
Alluvial,18.9,65.5,66.3,6.63,Mustard
Loamy,32.5,80.1,189.9,6.94,Banana
Black,25.7,70.4,53.4,7.21,Cotton
Sandy,31.5,70.7,83.6,6.36,Groundnut
Red,36.4,57.4,74.4,7.35,Millets
Black,19.0,66.0,76.3,7.07,Chickpea
Loamy,22.1,58.0,162.0,6.67,Maize
Red,29.2,74.8,79.8,6.72,Tomato
Alluvial,21.4,64.0,74.8,7.44,Wheat
Loamy,21.6,66.1,69.0,7.06,Onion
Red,33.5,59.6,109.0,7.09,Cotton
Black,22.3,70.1,92.6,6.18,Wheat
Black,21.2,61.9,55.2,6.06,Chickpea
Alluvial,25.5,88.2,220.0,6.86,Sugarcane
Laterite,29.4,87.7,177.8,6.56,Banana
Sandy,33.1,66.1,116.2,6.54,Groundnut
Black,27.9,73.1,184.8,7.21,Sugarcane
Laterite,28.6,80.8,163.6,6.5,Banana
Alluvial,26.3,70.5,189.6,5.87,Rice
Sandy,30.9,49.4,60.0,8.03,Millets
Black,26.5,75.4,59.5,6.48,Onion
Red,22.3,73.2,82.7,6.56,Tomato
Alluvial,19.7,57.7,104.0,6.41,Onion
Black,23.0,58.9,59.4,7.32,Wheat
Loamy,30.6,60.4,52.5,6.27,Groundnut
Black,25.7,76.6,205.7,6.76,Sugarcane
Alluvial,22.8,70.6,52.4,7.23,Wheat
Red,32.5,53.9,98.2,6.68,Cotton
Alluvial,32.4,88.5,161.1,5.55,Rice
Black,23.6,42.7,79.9,6.1,Chickpea
Alluvial,21.2,58.6,56.4,7.1,Wheat
Loamy,29.1,84.5,127.4,7.4,Banana
Loamy,28.6,77.2,257.5,6.36,Banana
Sandy,27.1,55.6,56.4,6.53,Millets
Black,30.2,69.4,207.8,7.12,Sugarcane
Laterite,33.8,83.1,202.1,6.02,Rice
Loamy,15.7,42.8,61.5,6.09,Mustard
Laterite,32.5,71.1,180.0,7.18,Banana
Alluvial,34.1,80.8,147.8,6.58,Banana
Laterite,34.2,35.4,46.7,5.88,Millets
Red,30.7,65.5,99.6,6.95,Groundnut
Black,27.5,68.9,88.8,6.49,Cotton
Loamy,14.8,40.7,39.2,7.07,Mustard
Black,21.2,77.3,101.2,5.32,Potato
Sandy,29.0,48.1,50.8,6.6,Groundnut
Laterite,25.5,91.5,287.9,6.53,Rice
Red,27.1,44.5,105.7,6.86,Cotton
Clay,28.6,82.2,225.1,6.41,Rice
Alluvial,22.0,66.6,81.2,6.69,Tomato
Loamy,18.5,73.9,137.9,5.34,Potato
Loamy,25.1,65.3,82.1,6.46,Cotton
Loamy,26.1,60.2,105.7,7.62,Cotton
Loamy,24.1,62.4,160.4,6.41,Maize
Loamy,31.0,62.4,77.6,5.88,Maize
Laterite,24.6,57.8,36.5,6.96,Millets
Loamy,14.5,63.0,79.8,6.02,Mustard
Alluvial,18.8,59.4,89.2,7.04,Chickpea
Alluvial,20.6,83.4,98.0,5.5,Potato
Black,30.3,64.0,180.5,7.05,Soybean
Loamy,29.9,55.5,147.8,7.04,Maize
Loamy,27.9,75.3,134.9,6.05,Soybean
Loamy,21.4,51.7,100.5,6.72,Onion
Black,18.4,40.8,77.4,7.14,Mustard
Loamy,28.6,48.0,119.6,7.18,Cotton
Loamy,34.1,57.3,69.4,6.68,Cotton
Loamy,32.2,77.6,84.6,7.4,Soybean
Clay,29.0,81.4,194.6,5.53,Rice
Alluvial,20.3,62.8,43.8,6.43,Mustard
Red,26.9,63.7,102.9,6.5,Cotton
Black,32.5,71.3,143.1,7.16,Sugarcane
Alluvial,24.5,66.7,107.8,7.24,Maize
Red,24.8,70.6,70.0,7.09,Maize
Alluvial,18.8,78.4,96.4,5.16,Potato
Alluvial,23.8,76.4,67.2,6.96,Tomato
Loamy,21.9,68.0,90.5,6.94,Onion
Black,26.2,70.0,100.3,6.35,Soybean
Sandy,24.2,59.0,69.4,6.63,Mustard
Sandy,23.7,64.1,121.4,7.02,Groundnut
Sandy,19.2,79.7,65.5,6.12,Potato
Black,22.8,65.9,95.7,5.97,Soybean
Sandy,25.2,63.3,82.7,6.87,Groundnut
Laterite,33.8,69.2,227.4,6.39,Rice
Laterite,33.2,63.0,50.4,5.57,Millets
Loamy,35.0,50.2,84.2,6.69,Cotton
Alluvial,25.1,58.6,79.6,6.08,Chickpea
Red,23.6,58.6,158.9,6.05,Maize
Red,22.9,56.1,77.8,5.84,Maize
Black,15.0,57.7,94.5,7.05,Wheat
Red,26.4,66.8,58.4,7.99,Cotton
Alluvial,33.8,88.0,142.4,7.36,Banana
Alluvial,16.9,80.0,130.9,5.19,Potato
Red,20.1,64.6,66.0,6.61,Tomato
Red,24.9,74.5,83.6,6.54,Tomato
Sandy,30.7,48.6,102.0,6.57,Groundnut
Red,25.0,50.0,67.1,7.5,Millets
Alluvial,26.3,60.4,73.7,7.38,Onion
Red,23.7,65.5,166.9,7.13,Soybean
Black,23.9,75.8,94.1,6.53,Soybean
Sandy,18.9,82.8,75.4,4.96,Potato
Red,21.9,55.0,91.5,6.49,Maize
Alluvial,21.7,48.7,82.0,6.45,Chickpea
Laterite,34.4,73.2,239.9,6.29,Banana
Red,22.5,58.0,83.9,6.89,Tomato
Loamy,29.2,66.0,101.2,6.09,Tomato
Loamy,33.5,88.2,152.6,6.61,Sugarcane
Red,32.3,72.1,132.8,7.22,Maize
Black,31.2,66.0,63.7,6.38,Cotton
Clay,18.2,58.3,34.0,7.52,Chickpea
Alluvial,31.4,71.2,242.5,6.28,Banana
Loamy,21.6,74.4,91.6,6.38,Onion
Sandy,27.1,63.4,120.2,6.35,Groundnut
Black,30.8,46.0,121.0,5.95,Cotton
Alluvial,27.5,54.2,154.0,5.86,Maize
Red,25.5,60.7,114.1,6.41,Maize
Alluvial,15.2,61.6,87.2,6.29,Potato
Loamy,26.5,76.8,170.9,6.71,Soybean
Red,27.8,58.6,114.7,6.89,Maize
Alluvial,18.1,58.7,92.4,6.6,Onion
Laterite,23.8,71.7,278.4,6.56,Rice
Clay,28.8,88.9,257.4,5.89,Rice
Black,27.9,63.4,42.6,6.82,Onion
Loamy,15.0,39.4,77.3,6.38,Mustard
Loamy,21.0,51.9,60.3,7.41,Wheat
Alluvial,22.1,59.9,97.4,6.01,Wheat
Loamy,17.9,77.7,118.7,5.31,Potato
Clay,31.5,84.7,251.4,5.49,Rice
Loamy,17.3,78.3,110.2,6.25,Potato
Red,26.3,34.7,42.6,6.32,Millets
Loamy,33.5,88.9,162.2,6.45,Sugarcane
Black,31.8,61.5,92.5,7.5,Soybean
Laterite,33.1,88.5,115.7,6.81,Banana
Loamy,31.8,80.7,119.2,7.47,Soybean
Black,17.4,64.2,44.3,6.37,Wheat
Desert,31.7,65.2,97.1,6.8,Millets
Black,28.1,65.8,176.7,6.61,Soybean
Black,23.8,81.3,86.0,6.77,Soybean
Black,29.2,65.5,106.9,6.85,Onion
Sandy,20.4,77.1,125.2,5.99,Potato
Sandy,26.1,42.7,51.8,7.01,Millets
Black,25.9,42.3,55.6,7.62,Chickpea
Clay,30.7,91.2,163.4,5.62,Rice
Red,23.7,61.9,81.7,6.84,Tomato
Loamy,24.2,79.6,152.7,6.48,Soybean
Alluvial,15.9,64.2,93.2,6.33,Wheat
Alluvial,29.4,83.1,223.9,5.58,Rice
Clay,26.9,72.8,162.7,5.49,Rice
Red,19.6,60.1,72.7,6.72,Mustard
Sandy,32.3,60.0,107.5,7.01,Groundnut
Sandy,24.6,70.6,119.3,6.44,Groundnut
Alluvial,18.2,44.9,89.1,6.17,Chickpea
Loamy,23.4,81.1,102.1,6.08,Potato
Black,17.0,45.8,80.6,6.23,Mustard
Clay,24.8,58.8,130.5,6.99,Tomato
Alluvial,28.4,67.4,42.7,6.85,Onion
Alluvial,31.9,84.8,138.5,7.07,Sugarcane
Laterite,26.7,73.7,218.0,7.18,Banana
Loamy,31.6,88.5,290.2,6.55,Rice
Sandy,24.4,51.5,45.3,6.68,Chickpea
Black,25.6,51.8,59.8,7.73,Chickpea
Alluvial,24.9,40.8,56.4,7.74,Chickpea
Black,26.0,45.0,39.1,6.95,Chickpea
Alluvial,23.1,65.3,95.4,6.3,Wheat
Alluvial,28.4,81.0,175.0,7.04,Banana
Clay,34.6,83.3,252.4,5.53,Rice
Loamy,27.2,69.1,71.1,6.13,Tomato
Loamy,16.7,62.1,40.6,6.44,Mustard
Red,26.6,37.1,80.1,7.95,Millets
Laterite,28.3,73.0,217.2,6.08,Banana
Loamy,16.2,66.3,67.8,6.44,Potato
Black,28.2,56.2,109.9,6.38,Onion
Loamy,23.5,57.2,79.4,6.17,Maize
Sandy,31.9,37.6,52.3,5.51,Millets
Clay,31.2,87.6,165.8,6.2,Rice
Black,23.6,64.8,103.7,5.33,Potato
Laterite,32.2,81.2,257.6,6.27,Banana
Sandy,22.5,83.9,61.4,5.15,Potato
Red,26.9,66.8,111.0,6.85,Cotton
Loamy,32.9,80.6,167.5,7.4,Banana
Black,35.8,55.8,100.9,7.16,Cotton
Alluvial,23.7,62.3,85.0,7.09,Wheat
Alluvial,33.8,74.0,125.1,6.26,Banana
Alluvial,30.5,59.1,53.8,6.38,Onion
Clay,34.3,89.7,273.3,5.6,Rice
Alluvial,31.9,74.6,265.0,6.62,Banana
Loamy,19.5,64.9,49.3,6.54,Onion
Loamy,32.0,76.0,134.1,7.05,Maize
Black,25.9,90.3,187.2,6.24,Sugarcane
Laterite,32.8,58.5,69.5,7.77,Millets
Loamy,17.7,55.5,75.1,6.75,Wheat
Sandy,20.4,68.4,80.7,5.99,Potato
Desert,29.5,91.0,229.4,6.98,Banana
Alluvial,33.6,72.7,187.3,6.64,Banana
Alluvial,25.6,63.3,83.0,7.05,Onion
Loamy,27.4,74.6,123.0,6.4,Banana
Loamy,25.6,51.8,42.3,7.42,Chickpea
Sandy,30.8,39.2,89.3,7.0,Millets
Laterite,31.0,34.7,35.7,5.63,Millets
Laterite,32.4,47.9,64.0,6.46,Millets
Red,34.0,69.1,87.6,6.4,Groundnut
Loamy,23.2,60.7,76.0,6.1,Mustard
Red,28.9,76.1,108.2,6.55,Maize
Black,34.1,54.4,55.7,7.08,Cotton
Laterite,25.0,49.7,106.3,6.55,Groundnut
Desert,24.7,40.2,33.5,7.63,Millets
Loamy,28.6,77.6,131.3,6.99,Tomato
Laterite,30.4,52.5,58.2,6.43,Groundnut
Sandy,15.5,62.4,122.5,4.99,Potato
Alluvial,18.7,74.9,105.0,7.49,Onion
Loamy,21.0,51.5,43.6,6.35,Wheat
Black,28.8,63.5,79.1,6.75,Cotton
Alluvial,33.6,91.2,189.4,7.48,Banana
Laterite,31.5,72.2,145.5,6.75,Banana
Alluvial,16.0,65.0,105.3,5.38,Potato
Alluvial,14.0,55.7,43.4,6.8,Mustard
Alluvial,26.0,81.6,170.5,5.69,Rice
Black,27.3,74.3,243.6,7.14,Sugarcane
Red,15.8,68.3,71.9,6.18,Wheat
Loamy,25.1,65.2,76.9,6.17,Chickpea
Black,19.4,51.9,57.0,7.14,Wheat
Sandy,30.2,63.9,47.3,6.78,Millets
Laterite,31.4,78.0,183.1,6.12,Banana
Loamy,28.6,69.4,77.8,6.95,Tomato
Clay,26.9,84.8,261.8,6.52,Rice
Red,24.6,65.0,122.4,7.06,Cotton
Loamy,23.1,63.9,48.2,6.9,Wheat
Alluvial,22.0,51.8,63.6,7.24,Onion
Loamy,33.1,71.8,149.2,6.43,Sugarcane
Alluvial,15.1,61.2,74.8,6.73,Mustard
Sandy,20.8,82.6,61.0,5.84,Potato
Alluvial,20.5,56.2,35.8,6.11,Mustard
Loamy,19.7,67.5,81.5,7.38,Onion
Alluvial,27.2,62.6,66.9,7.21,Onion
Alluvial,28.5,57.7,125.7,6.35,Tomato
Alluvial,15.5,50.0,69.9,6.82,Mustard
Loamy,22.4,65.7,71.5,7.17,Maize
Red,31.0,44.8,72.6,6.46,Groundnut
Sandy,24.0,71.6,137.4,6.54,Potato
Loamy,16.3,42.2,48.4,6.73,Mustard
Sandy,30.8,54.8,79.1,6.82,Groundnut
Red,24.7,73.3,130.1,7.48,Soybean
Loamy,31.4,59.8,163.4,6.66,Maize
Loamy,29.3,66.1,115.8,6.98,Tomato
Black,24.2,75.8,185.6,6.24,Sugarcane
Laterite,32.8,73.7,219.6,5.52,Rice
Alluvial,19.4,60.0,101.6,6.19,Wheat
Loamy,19.7,72.0,121.7,6.27,Potato
Laterite,28.5,65.4,54.5,7.83,Millets
Desert,26.2,73.4,100.5,6.67,Soybean
Loamy,22.3,58.6,68.8,6.35,Wheat
Loamy,27.0,57.0,69.8,6.17,Tomato
Black,15.7,50.5,81.1,6.11,Mustard
Alluvial,31.2,85.6,162.5,6.76,Banana
Alluvial,21.6,49.6,68.9,6.98,Wheat
Laterite,30.3,45.3,75.8,6.62,Groundnut
Loamy,18.1,45.2,37.9,7.34,Mustard
Sandy,33.9,50.8,62.8,6.2,Groundnut
Red,27.7,65.2,119.6,5.85,Maize
Alluvial,24.0,70.7,241.2,6.12,Banana
Black,20.8,66.4,75.6,7.21,Onion
Black,25.0,74.8,92.4,6.92,Onion
Loamy,30.0,86.1,213.5,7.05,Sugarcane
Sandy,25.8,53.7,109.8,6.88,Groundnut
Loamy,20.1,54.2,88.1,6.13,Onion
Clay,23.8,92.4,205.1,6.45,Rice
Clay,18.0,52.7,73.6,6.8,Wheat
Loamy,27.8,65.2,111.0,6.69,Onion
Alluvial,23.7,60.6,74.3,6.45,Tomato
Alluvial,30.6,89.3,144.8,6.64,Rice
Black,14.9,62.5,83.1,7.14,Wheat
Alluvial,17.7,54.4,44.3,6.48,Onion
Alluvial,21.3,46.6,34.7,7.15,Mustard
Black,17.5,66.4,96.7,7.23,Wheat
Desert,26.6,60.3,46.9,7.6,Millets
Black,16.3,66.9,77.5,6.37,Wheat
Black,18.9,50.4,67.6,6.23,Chickpea
Loamy,32.7,82.6,202.5,6.46,Sugarcane
Black,25.2,82.1,207.2,6.5,Sugarcane
Loamy,31.0,83.4,262.0,6.82,Banana
Laterite,26.3,52.8,70.3,6.57,Groundnut
Black,29.9,78.3,137.4,6.07,Sugarcane
Red,25.4,62.3,49.1,6.14,Groundnut
Laterite,26.5,78.3,159.9,6.7,Banana
Black,19.9,46.0,28.8,7.16,Mustard
Loamy,28.8,60.6,77.1,7.52,Cotton
Red,28.0,65.8,84.1,7.44,Millets
Loamy,26.1,86.5,137.0,7.05,Banana
Red,23.6,78.2,171.1,7.04,Soybean
Alluvial,14.3,52.7,80.8,7.03,Mustard
Black,33.0,88.3,148.4,6.87,Sugarcane
Clay,29.9,92.7,299.3,5.52,Rice
Loamy,17.4,50.0,87.4,6.27,Chickpea
Sandy,29.1,41.3,36.7,5.61,Millets
Loamy,29.7,87.1,163.7,6.43,Sugarcane
Alluvial,19.1,46.2,42.9,6.06,Mustard
Loamy,26.5,61.1,93.0,6.72,Maize
Alluvial,16.9,68.8,72.5,7.16,Wheat
Alluvial,21.8,49.3,88.7,6.27,Onion
Loamy,27.5,78.8,213.8,6.63,Sugarcane
Sandy,30.3,59.0,64.3,6.68,Groundnut
Alluvial,33.7,76.8,232.2,6.14,Rice
Loamy,30.3,85.8,235.5,6.61,Banana
Alluvial,16.9,64.9,120.4,5.08,Potato
Laterite,32.5,65.9,111.8,6.32,Groundnut
Black,32.6,45.8,65.3,7.96,Cotton
Alluvial,22.2,65.4,91.2,6.67,Wheat
Clay,31.7,85.9,206.8,6.34,Rice
Red,29.8,68.0,88.6,6.63,Soybean
Alluvial,21.4,62.8,87.8,7.27,Wheat
Alluvial,34.3,60.2,105.0,6.32,Cotton
Loamy,25.0,42.2,54.7,6.84,Mustard
Laterite,30.8,58.8,92.2,6.98,Millets
Black,35.2,48.2,119.3,7.24,Cotton
Sandy,25.9,73.3,257.2,7.47,Banana
Loamy,23.7,74.6,206.0,6.13,Banana
Alluvial,20.1,50.2,39.1,6.01,Chickpea
Alluvial,19.2,60.0,79.6,7.43,Wheat
Black,23.7,56.7,73.6,6.32,Chickpea
Desert,27.6,40.6,96.3,5.47,Millets
Red,23.9,77.5,165.4,6.13,Soybean
Loamy,24.1,72.0,211.4,6.29,Sugarcane
Loamy,31.3,62.0,127.1,6.59,Maize
Loamy,27.5,90.2,151.2,6.0,Banana
Loamy,24.4,59.9,63.5,6.89,Chickpea
Loamy,27.7,69.7,81.3,7.56,Cotton
Black,20.6,62.7,50.8,7.06,Wheat
Loamy,18.4,41.3,78.9,6.74,Chickpea
Black,26.3,49.9,101.3,6.19,Onion
Sandy,26.7,45.6,77.7,6.02,Groundnut
Sandy,17.1,61.9,119.1,5.43,Potato
Loamy,23.6,75.8,232.1,7.14,Banana
Laterite,32.8,60.1,52.3,6.47,Groundnut
Clay,33.4,84.1,266.8,5.95,Rice
Alluvial,22.2,79.9,120.2,6.71,Maize
Laterite,31.1,89.3,241.1,6.95,Banana
Red,23.9,71.1,97.9,5.99,Soybean
Loamy,15.9,66.1,142.6,5.26,Potato
Loamy,15.2,62.4,78.5,5.54,Potato
Red,29.4,66.8,117.6,6.22,Maize
Alluvial,27.7,65.9,82.4,7.07,Maize
Loamy,30.4,68.5,125.8,6.57,Soybean
Alluvial,19.4,51.2,51.7,6.29,Mustard
Alluvial,29.0,73.3,150.5,6.67,Maize
Laterite,31.0,81.3,256.4,6.54,Banana
Clay,34.3,70.2,295.6,6.62,Rice
Loamy,18.0,51.2,56.2,6.65,Wheat
Alluvial,19.2,49.6,59.0,6.05,Mustard
Red,24.5,85.7,80.8,7.32,Soybean
Loamy,34.6,54.1,75.4,7.45,Cotton
Red,32.7,54.0,76.4,6.13,Millets
Loamy,26.6,69.1,147.9,6.65,Soybean
Laterite,30.5,91.0,226.0,6.81,Banana
Laterite,35.2,36.8,69.6,7.83,Millets
Clay,28.2,81.3,149.9,7.25,Sugarcane
Red,32.9,51.3,37.7,6.87,Millets
Loamy,25.1,66.2,93.2,7.03,Cotton
Black,28.6,79.6,160.7,6.62,Soybean
Red,28.8,80.8,89.2,6.68,Tomato
Loamy,17.1,52.1,98.9,6.59,Wheat
Desert,21.8,51.8,44.6,6.54,Mustard
Loamy,25.9,74.2,161.3,6.44,Maize
Black,24.9,70.6,79.9,6.82,Soybean
Alluvial,33.4,76.7,259.5,7.33,Banana
Loamy,14.8,61.2,87.4,7.27,Wheat
Alluvial,17.7,53.0,81.8,6.39,Wheat
Loamy,20.0,57.1,59.8,6.04,Tomato
Sandy,31.1,61.2,94.9,6.19,Groundnut
Loamy,26.2,57.3,101.4,6.56,Tomato
Loamy,20.3,77.2,53.9,6.69,Tomato
Black,29.5,65.6,170.6,6.56,Soybean
Alluvial,23.1,62.7,123.1,6.67,Tomato
Black,23.2,45.8,84.0,6.68,Chickpea
Black,27.1,81.9,85.4,6.02,Soybean
Loamy,34.9,70.8,166.3,5.88,Rice
Loamy,29.9,83.2,164.9,6.25,Soybean
Loamy,20.0,70.9,69.7,6.47,Tomato
Desert,24.8,53.7,84.4,6.15,Millets
Loamy,34.1,75.3,186.2,6.44,Banana
Black,21.3,62.2,81.4,6.07,Mustard
Black,16.9,60.6,46.8,7.44,Wheat
Sandy,23.6,83.4,115.8,5.35,Potato
Alluvial,32.1,79.4,245.6,6.27,Rice
Loamy,13.7,46.2,46.2,6.81,Mustard
Loamy,21.7,57.7,32.8,6.06,Chickpea
Loamy,27.4,54.6,98.4,7.71,Cotton
Black,18.3,48.3,75.1,6.44,Mustard
Loamy,27.1,60.2,57.0,7.42,Onion
Alluvial,18.0,68.8,138.8,5.03,Potato
Black,24.8,51.3,107.0,7.87,Cotton
Clay,15.5,79.2,58.6,5.31,Potato
Black,25.3,58.9,71.6,7.27,Mustard
Red,29.7,62.4,62.0,6.86,Cotton
Black,28.1,73.2,93.2,7.41,Soybean
Red,32.5,55.4,88.6,6.58,Groundnut
Black,22.6,55.5,33.8,6.28,Chickpea
Loamy,22.4,67.6,51.9,6.88,Wheat
Laterite,28.3,76.8,297.7,6.26,Rice
Alluvial,16.4,44.9,79.9,6.78,Chickpea
Alluvial,23.1,61.5,42.2,6.09,Chickpea
Alluvial,28.7,56.6,106.9,6.33,Tomato
